'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:02.402',0.083,-0.326,-0.408,0.121,0.246,-0.367,0.025,0.342,0.402,0.181,-0.087,-0.056,0.036,-0.175,0.070
'0:02.403',0.032,-0.368,-0.400,0.169,0.216,-0.385,0.018,0.333,0.392,0.174,-0.095,-0.066,0.036,-0.173,0.068
'0:02.404',0.024,-0.363,-0.387,0.170,0.205,-0.375,0.021,0.334,0.395,0.182,-0.086,-0.058,0.037,-0.172,0.067
'0:02.405',0.044,-0.347,-0.392,0.152,0.218,-0.370,0.025,0.337,0.396,0.184,-0.080,-0.056,0.038,-0.174,0.066
'0:02.406',0.053,-0.336,-0.389,0.141,0.221,-0.362,0.035,0.346,0.402,0.191,-0.072,-0.049,0.036,-0.170,0.063
'0:02.407',0.053,-0.340,-0.394,0.143,0.224,-0.367,0.030,0.338,0.396,0.186,-0.073,-0.052,0.035,-0.169,0.061
'0:02.408',0.022,-0.350,-0.372,0.164,0.198,-0.361,0.029,0.336,0.394,0.184,-0.072,-0.052,0.035,-0.164,0.059
'0:02.409',0.026,-0.338,-0.363,0.156,0.195,-0.351,0.032,0.342,0.397,0.186,-0.069,-0.048,0.035,-0.159,0.059
'0:02.410',0.036,-0.332,-0.367,0.147,0.202,-0.350,0.033,0.340,0.395,0.182,-0.071,-0.046,0.033,-0.166,0.058
'0:02.411',0.019,-0.334,-0.352,0.157,0.186,-0.343,0.035,0.338,0.395,0.183,-0.073,-0.047,0.030,-0.165,0.058
'0:02.412',0.013,-0.335,-0.347,0.161,0.180,-0.342,0.035,0.336,0.390,0.182,-0.071,-0.050,0.029,-0.161,0.056
'0:02.413',0.020,-0.321,-0.341,0.150,0.180,-0.332,0.037,0.338,0.391,0.189,-0.064,-0.042,0.030,-0.155,0.053
'0:02.414',0.042,-0.298,-0.340,0.129,0.191,-0.320,0.045,0.342,0.397,0.197,-0.056,-0.032,0.032,-0.144,0.053
'0:02.415',0.036,-0.298,-0.334,0.131,0.185,-0.317,0.050,0.342,0.395,0.197,-0.052,-0.029,0.031,-0.141,0.050
'0:02.416',0.025,-0.297,-0.322,0.136,0.173,-0.309,0.049,0.340,0.393,0.194,-0.053,-0.028,0.029,-0.144,0.048
'0:02.417',0.018,-0.292,-0.310,0.138,0.164,-0.301,0.052,0.343,0.395,0.197,-0.049,-0.023,0.028,-0.142,0.050
'0:02.418',0.007,-0.318,-0.325,0.155,0.166,-0.322,0.042,0.329,0.380,0.186,-0.057,-0.032,0.029,-0.136,0.046
'0:02.419',0.013,-0.325,-0.338,0.155,0.175,-0.331,0.034,0.318,0.371,0.177,-0.062,-0.040,0.029,-0.129,0.045
'0:02.420',-0.001,-0.317,-0.317,0.159,0.159,-0.318,0.042,0.322,0.377,0.187,-0.051,-0.030,0.029,-0.131,0.042
'0:02.421',-0.004,-0.310,-0.307,0.157,0.152,-0.309,0.044,0.324,0.379,0.189,-0.046,-0.024,0.030,-0.128,0.038
'0:02.422',0.015,-0.309,-0.324,0.147,0.170,-0.317,0.046,0.321,0.372,0.177,-0.052,-0.026,0.027,-0.128,0.039
'0:02.423',0.011,-0.315,-0.326,0.151,0.169,-0.321,0.049,0.317,0.366,0.172,-0.055,-0.025,0.026,-0.128,0.040
'0:02.424',0.005,-0.314,-0.319,0.154,0.162,-0.317,0.050,0.316,0.366,0.173,-0.056,-0.025,0.027,-0.119,0.038
'0:02.425',0.011,-0.318,-0.329,0.154,0.170,-0.324,0.050,0.310,0.360,0.172,-0.056,-0.029,0.023,-0.121,0.037
'0:02.426',0.017,-0.316,-0.333,0.149,0.174,-0.324,0.050,0.308,0.357,0.172,-0.056,-0.034,0.019,-0.124,0.035
'0:02.427',0.028,-0.313,-0.341,0.142,0.185,-0.327,0.046,0.300,0.350,0.168,-0.060,-0.039,0.018,-0.130,0.032
'0:02.428',0.015,-0.312,-0.328,0.148,0.172,-0.320,0.050,0.299,0.347,0.169,-0.057,-0.033,0.019,-0.123,0.032
'0:02.429',0.005,-0.304,-0.309,0.149,0.157,-0.307,0.053,0.300,0.350,0.173,-0.051,-0.023,0.023,-0.118,0.030
'0:02.430',0.016,-0.296,-0.312,0.141,0.165,-0.305,0.053,0.294,0.345,0.171,-0.050,-0.022,0.022,-0.117,0.028
'0:02.431',0.004,-0.292,-0.296,0.144,0.150,-0.294,0.061,0.297,0.346,0.175,-0.043,-0.015,0.024,-0.108,0.026
'0:02.432',-0.006,-0.290,-0.285,0.148,0.140,-0.288,0.059,0.289,0.341,0.174,-0.041,-0.015,0.024,-0.107,0.028
'0:02.433',-0.013,-0.291,-0.279,0.152,0.133,-0.285,0.062,0.285,0.338,0.174,-0.041,-0.015,0.023,-0.105,0.025
'0:02.434',-0.029,-0.291,-0.262,0.161,0.117,-0.277,0.071,0.289,0.339,0.181,-0.033,-0.008,0.025,-0.100,0.022
'0:02.435',-0.013,-0.287,-0.275,0.150,0.131,-0.281,0.066,0.286,0.330,0.176,-0.037,-0.013,0.025,-0.092,0.021
'0:02.436',-0.006,-0.283,-0.277,0.145,0.136,-0.281,0.064,0.277,0.324,0.173,-0.042,-0.015,0.024,-0.090,0.019
'0:02.437',-0.015,-0.282,-0.268,0.149,0.127,-0.275,0.067,0.272,0.322,0.175,-0.037,-0.011,0.021,-0.094,0.019
'0:02.438',-0.003,-0.280,-0.278,0.141,0.138,-0.279,0.069,0.272,0.319,0.173,-0.036,-0.009,0.018,-0.096,0.015
'0:02.439',-0.011,-0.280,-0.268,0.145,0.129,-0.274,0.073,0.270,0.318,0.173,-0.030,-0.004,0.019,-0.095,0.013
'0:02.440',-0.007,-0.272,-0.265,0.140,0.129,-0.269,0.070,0.268,0.314,0.172,-0.028,-0.001,0.021,-0.084,0.011
'0:02.441',0.005,-0.272,-0.277,0.133,0.141,-0.274,0.063,0.258,0.305,0.166,-0.031,-0.004,0.019,-0.074,0.009
'0:02.442',0.005,-0.269,-0.275,0.132,0.141,-0.272,0.069,0.256,0.303,0.167,-0.029,0.001,0.017,-0.071,0.006
'0:02.443',-0.005,-0.277,-0.272,0.141,0.133,-0.275,0.071,0.254,0.299,0.165,-0.031,0.001,0.015,-0.080,0.004
'0:02.444',-0.006,-0.272,-0.265,0.139,0.130,-0.269,0.076,0.255,0.297,0.165,-0.026,0.005,0.013,-0.082,0.003
'0:02.445',0.015,-0.245,-0.260,0.116,0.137,-0.253,0.082,0.257,0.301,0.169,-0.016,0.015,0.011,-0.070,0.003
'0:02.446',-0.003,-0.262,-0.258,0.132,0.128,-0.260,0.073,0.243,0.291,0.163,-0.018,0.008,0.011,-0.067,0.002
'0:02.447',-0.013,-0.262,-0.249,0.137,0.118,-0.256,0.076,0.244,0.289,0.165,-0.015,0.013,0.011,-0.067,0.001
'0:02.448',-0.029,-0.261,-0.233,0.144,0.102,-0.247,0.075,0.240,0.285,0.164,-0.013,0.016,0.010,-0.064,0.001
'0:02.449',-0.044,-0.274,-0.230,0.159,0.093,-0.253,0.067,0.228,0.273,0.155,-0.020,0.011,0.011,-0.055,-0.001
'0:02.450',-0.021,-0.257,-0.235,0.139,0.107,-0.246,0.072,0.229,0.273,0.158,-0.019,0.014,0.009,-0.057,-0.003
'0:02.451',-0.021,-0.246,-0.226,0.134,0.102,-0.236,0.074,0.226,0.272,0.160,-0.015,0.017,0.007,-0.061,-0.004
'0:02.452',-0.035,-0.254,-0.218,0.144,0.092,-0.236,0.072,0.219,0.266,0.155,-0.018,0.014,0.006,-0.053,-0.007
'0:02.453',-0.043,-0.255,-0.211,0.149,0.084,-0.234,0.071,0.213,0.260,0.152,-0.018,0.013,0.004,-0.053,-0.009
'0:02.454',-0.043,-0.245,-0.202,0.144,0.080,-0.224,0.076,0.211,0.260,0.154,-0.013,0.018,0.003,-0.046,-0.009
'0:02.455',-0.018,-0.224,-0.205,0.121,0.093,-0.214,0.083,0.220,0.264,0.158,-0.006,0.025,0.004,-0.042,-0.009
'0:02.456',-0.018,-0.219,-0.200,0.119,0.091,-0.210,0.084,0.218,0.260,0.155,-0.004,0.025,0.005,-0.044,-0.009
'0:02.457',-0.043,-0.239,-0.196,0.141,0.076,-0.218,0.078,0.205,0.246,0.146,-0.011,0.018,0.003,-0.043,-0.009
'0:02.458',-0.051,-0.253,-0.201,0.152,0.075,-0.228,0.072,0.198,0.237,0.139,-0.015,0.013,0.003,-0.039,-0.009
'0:02.459',-0.052,-0.251,-0.199,0.151,0.074,-0.226,0.071,0.196,0.235,0.138,-0.013,0.015,0.003,-0.036,-0.009
'0:02.460',-0.049,-0.243,-0.195,0.145,0.073,-0.219,0.074,0.192,0.234,0.141,-0.007,0.017,0.004,-0.034,-0.009
'0:02.461',-0.051,-0.245,-0.194,0.148,0.071,-0.220,0.074,0.189,0.227,0.138,-0.005,0.018,0.003,-0.029,-0.011
'0:02.462',-0.054,-0.247,-0.193,0.150,0.070,-0.220,0.076,0.188,0.223,0.134,-0.006,0.021,0.002,-0.033,-0.011
'0:02.463',-0.050,-0.241,-0.192,0.145,0.071,-0.217,0.082,0.185,0.222,0.136,-0.003,0.025,0.001,-0.029,-0.011
'0:02.464',-0.036,-0.234,-0.198,0.135,0.081,-0.216,0.080,0.181,0.218,0.134,-0.005,0.024,-0.001,-0.025,-0.015
'0:02.465',-0.042,-0.232,-0.191,0.137,0.075,-0.211,0.082,0.179,0.215,0.132,-0.006,0.024,-0.003,-0.028,-0.015
'0:02.466',-0.046,-0.232,-0.185,0.140,0.070,-0.209,0.086,0.177,0.213,0.131,-0.007,0.025,-0.004,-0.024,-0.014
'0:02.467',-0.058,-0.233,-0.175,0.145,0.059,-0.204,0.084,0.177,0.212,0.132,-0.007,0.028,-0.004,-0.014,-0.014
'0:02.468',-0.066,-0.236,-0.171,0.150,0.053,-0.203,0.082,0.174,0.209,0.132,-0.007,0.026,-0.005,-0.016,-0.011
'0:02.469',-0.058,-0.229,-0.171,0.143,0.057,-0.200,0.085,0.174,0.208,0.130,-0.006,0.026,-0.006,-0.021,-0.014
'0:02.470',-0.064,-0.223,-0.159,0.143,0.048,-0.191,0.088,0.173,0.208,0.131,-0.005,0.029,-0.007,-0.019,-0.015
'0:02.471',-0.053,-0.225,-0.172,0.139,0.060,-0.199,0.081,0.159,0.197,0.122,-0.015,0.024,-0.008,-0.018,-0.013
'0:02.472',-0.058,-0.226,-0.168,0.142,0.055,-0.197,0.081,0.160,0.195,0.123,-0.015,0.028,-0.007,-0.015,-0.013
'0:02.473',-0.073,-0.228,-0.154,0.150,0.041,-0.192,0.084,0.163,0.195,0.129,-0.010,0.032,-0.007,-0.017,-0.015
'0:02.474',-0.073,-0.227,-0.154,0.150,0.041,-0.191,0.077,0.155,0.188,0.124,-0.012,0.028,-0.009,-0.009,-0.015
'0:02.475',-0.070,-0.221,-0.150,0.145,0.040,-0.185,0.079,0.155,0.187,0.126,-0.008,0.033,-0.007,-0.005,-0.017
'0:02.476',-0.068,-0.220,-0.151,0.144,0.042,-0.186,0.079,0.154,0.185,0.124,-0.006,0.034,-0.007,-0.013,-0.015
'0:02.477',-0.069,-0.221,-0.152,0.144,0.043,-0.187,0.079,0.152,0.182,0.122,-0.004,0.035,-0.008,-0.009,-0.013
'0:02.478',-0.062,-0.221,-0.158,0.141,0.048,-0.189,0.081,0.153,0.183,0.126,0.001,0.040,-0.008,-0.006,-0.015
'0:02.479',-0.058,-0.214,-0.157,0.136,0.050,-0.185,0.083,0.149,0.179,0.124,0.003,0.038,-0.009,-0.001,-0.015
'0:02.480',-0.044,-0.206,-0.161,0.125,0.059,-0.183,0.083,0.145,0.173,0.122,0.003,0.036,-0.009,-0.001,-0.015
'0:02.481',-0.056,-0.211,-0.156,0.134,0.051,-0.184,0.081,0.146,0.172,0.123,0.005,0.037,-0.011,-0.004,-0.015
'0:02.482',-0.076,-0.229,-0.152,0.153,0.038,-0.191,0.077,0.141,0.166,0.120,0.005,0.035,-0.009,-0.011,-0.015
'0:02.483',-0.074,-0.239,-0.166,0.157,0.046,-0.203,0.070,0.131,0.157,0.115,0.000,0.029,-0.009,-0.015,-0.015
'0:02.484',-0.077,-0.235,-0.158,0.156,0.041,-0.197,0.070,0.130,0.155,0.113,0.001,0.029,-0.011,-0.012,-0.015
'0:02.485',-0.065,-0.220,-0.155,0.142,0.046,-0.188,0.077,0.135,0.158,0.115,0.004,0.035,-0.013,-0.015,-0.014
'0:02.486',-0.059,-0.205,-0.146,0.132,0.044,-0.176,0.087,0.143,0.165,0.119,0.009,0.044,-0.015,-0.017,-0.013
'0:02.487',-0.082,-0.224,-0.142,0.153,0.030,-0.183,0.081,0.139,0.157,0.111,-0.002,0.039,-0.014,-0.011,-0.012
'0:02.488',-0.113,-0.236,-0.123,0.174,0.005,-0.180,0.081,0.135,0.154,0.110,-0.002,0.038,-0.015,-0.008,-0.010
'0:02.489',-0.090,-0.225,-0.134,0.158,0.022,-0.179,0.080,0.135,0.155,0.111,-0.001,0.040,-0.015,-0.013,-0.012
'0:02.490',-0.067,-0.225,-0.158,0.146,0.045,-0.192,0.070,0.124,0.143,0.101,-0.011,0.030,-0.014,-0.007,-0.013
'0:02.491',-0.096,-0.229,-0.133,0.162,0.018,-0.180,0.077,0.130,0.147,0.106,-0.004,0.036,-0.016,-0.004,-0.011
'0:02.492',-0.096,-0.231,-0.135,0.164,0.019,-0.183,0.074,0.127,0.145,0.103,-0.005,0.035,-0.015,0.000,-0.012
'0:02.493',-0.096,-0.228,-0.133,0.162,0.019,-0.180,0.073,0.125,0.143,0.103,-0.005,0.036,-0.014,-0.002,-0.009
'0:02.494',-0.080,-0.227,-0.147,0.153,0.034,-0.187,0.067,0.118,0.138,0.099,-0.009,0.033,-0.013,-0.012,-0.007
'0:02.495',-0.069,-0.223,-0.154,0.145,0.043,-0.189,0.064,0.116,0.133,0.094,-0.011,0.032,-0.011,-0.011,-0.006
'0:02.496',-0.085,-0.221,-0.136,0.152,0.026,-0.178,0.070,0.123,0.138,0.100,-0.005,0.038,-0.011,-0.005,-0.006
'0:02.497',-0.082,-0.224,-0.143,0.153,0.031,-0.183,0.064,0.116,0.132,0.097,-0.007,0.033,-0.013,0.000,-0.006
'0:02.498',-0.093,-0.231,-0.138,0.163,0.022,-0.185,0.068,0.120,0.136,0.103,0.000,0.037,-0.011,-0.006,-0.005
'0:02.499',-0.108,-0.234,-0.126,0.171,0.009,-0.179,0.069,0.123,0.139,0.109,0.006,0.043,-0.010,-0.004,-0.004
'0:02.500',-0.084,-0.234,-0.150,0.159,0.033,-0.192,0.059,0.111,0.124,0.095,-0.009,0.032,-0.012,0.002,-0.004
'0:02.501',-0.077,-0.238,-0.161,0.158,0.042,-0.200,0.059,0.108,0.122,0.093,-0.011,0.029,-0.013,-0.001,-0.006
'0:02.502',-0.084,-0.236,-0.152,0.160,0.035,-0.194,0.059,0.112,0.124,0.097,-0.003,0.035,-0.012,-0.002,-0.009
'0:02.503',-0.089,-0.235,-0.147,0.162,0.029,-0.191,0.060,0.113,0.126,0.095,-0.001,0.037,-0.013,-0.009,-0.007
'0:02.504',-0.093,-0.231,-0.138,0.162,0.022,-0.184,0.065,0.118,0.130,0.101,0.006,0.043,-0.013,-0.005,-0.008
'0:02.505',-0.089,-0.236,-0.147,0.163,0.029,-0.192,0.060,0.112,0.124,0.093,0.001,0.038,-0.015,0.002,-0.006
'0:02.506',-0.070,-0.224,-0.154,0.147,0.043,-0.190,0.060,0.114,0.126,0.095,0.004,0.041,-0.013,-0.001,-0.006
'0:02.507',-0.065,-0.221,-0.157,0.142,0.046,-0.189,0.059,0.114,0.124,0.094,0.003,0.041,-0.013,0.002,-0.009
'0:02.508',-0.093,-0.241,-0.148,0.167,0.028,-0.195,0.050,0.104,0.113,0.084,-0.007,0.032,-0.014,-0.004,-0.004
'0:02.509',-0.093,-0.236,-0.143,0.165,0.025,-0.190,0.052,0.106,0.116,0.089,-0.005,0.035,-0.014,-0.009,-0.004
'0:02.510',-0.103,-0.235,-0.132,0.169,0.015,-0.184,0.059,0.110,0.122,0.094,-0.002,0.040,-0.015,-0.001,-0.007
'0:02.511',-0.100,-0.231,-0.132,0.165,0.016,-0.181,0.054,0.109,0.121,0.091,-0.003,0.038,-0.013,-0.003,-0.007
'0:02.512',-0.091,-0.224,-0.132,0.158,0.021,-0.178,0.052,0.110,0.120,0.093,-0.001,0.038,-0.012,-0.003,-0.005
'0:02.513',-0.102,-0.228,-0.125,0.165,0.011,-0.176,0.053,0.107,0.117,0.093,0.002,0.039,-0.013,0.001,-0.005
'0:02.514',-0.097,-0.230,-0.133,0.164,0.018,-0.181,0.049,0.101,0.115,0.089,-0.003,0.036,-0.012,0.004,-0.004
'0:02.515',-0.089,-0.227,-0.138,0.159,0.024,-0.182,0.048,0.102,0.115,0.091,-0.003,0.035,-0.011,0.015,-0.004
'0:02.516',-0.089,-0.228,-0.138,0.159,0.025,-0.183,0.048,0.102,0.114,0.092,-0.002,0.035,-0.012,0.006,-0.005
'0:02.517',-0.100,-0.233,-0.133,0.167,0.017,-0.183,0.046,0.102,0.113,0.092,-0.001,0.034,-0.012,-0.001,-0.004
'0:02.518',-0.097,-0.233,-0.136,0.165,0.019,-0.184,0.046,0.102,0.114,0.093,0.002,0.035,-0.012,0.001,-0.004
'0:02.519',-0.091,-0.231,-0.140,0.161,0.025,-0.186,0.045,0.098,0.114,0.092,0.003,0.035,-0.013,-0.005,-0.004
'0:02.520',-0.083,-0.224,-0.141,0.153,0.029,-0.182,0.045,0.101,0.114,0.092,0.003,0.037,-0.013,-0.003,-0.005
'0:02.521',-0.072,-0.220,-0.147,0.146,0.038,-0.184,0.045,0.104,0.115,0.091,0.001,0.037,-0.012,0.001,-0.005
'0:02.522',-0.075,-0.226,-0.150,0.150,0.037,-0.188,0.044,0.104,0.115,0.090,-0.001,0.037,-0.010,0.001,-0.005
'0:02.523',-0.078,-0.228,-0.150,0.153,0.036,-0.190,0.044,0.103,0.114,0.091,-0.001,0.038,-0.009,0.000,-0.006
'0:02.524',-0.084,-0.235,-0.151,0.160,0.034,-0.194,0.041,0.100,0.111,0.090,-0.001,0.037,-0.008,0.004,-0.004
'0:02.525',-0.090,-0.239,-0.149,0.165,0.030,-0.195,0.035,0.099,0.111,0.092,0.002,0.037,-0.007,0.007,-0.004
'0:02.526',-0.089,-0.237,-0.148,0.163,0.029,-0.193,0.037,0.103,0.114,0.097,0.005,0.038,-0.009,0.011,-0.004
'0:02.527',-0.082,-0.229,-0.147,0.155,0.034,-0.189,0.042,0.106,0.116,0.101,0.011,0.042,-0.006,0.013,-0.005
'0:02.528',-0.096,-0.234,-0.139,0.165,0.021,-0.186,0.038,0.102,0.112,0.098,0.009,0.038,-0.007,0.011,-0.004
'0:02.529',-0.099,-0.230,-0.131,0.165,0.016,-0.180,0.044,0.107,0.118,0.102,0.013,0.046,-0.006,0.006,-0.003
'0:02.530',-0.075,-0.212,-0.138,0.143,0.032,-0.175,0.050,0.114,0.125,0.110,0.018,0.056,-0.002,0.005,-0.002
'0:02.531',-0.089,-0.231,-0.142,0.160,0.027,-0.187,0.037,0.101,0.116,0.101,0.009,0.045,-0.002,0.004,-0.003
'0:02.532',-0.114,-0.247,-0.133,0.180,0.010,-0.191,0.032,0.095,0.111,0.096,0.007,0.043,-0.002,0.003,-0.002
'0:02.533',-0.114,-0.245,-0.132,0.179,0.009,-0.189,0.034,0.097,0.109,0.090,0.007,0.045,-0.004,0.009,-0.004
'0:02.534',-0.102,-0.239,-0.138,0.171,0.018,-0.189,0.033,0.098,0.107,0.087,0.007,0.046,-0.004,0.008,-0.004
'0:02.535',-0.090,-0.233,-0.142,0.162,0.026,-0.188,0.033,0.098,0.106,0.086,0.007,0.046,-0.004,0.008,-0.005
'0:02.536',-0.090,-0.234,-0.143,0.162,0.027,-0.189,0.035,0.098,0.108,0.086,0.007,0.045,-0.006,0.004,-0.006
'0:02.537',-0.086,-0.239,-0.153,0.163,0.034,-0.197,0.036,0.097,0.110,0.087,0.004,0.041,-0.008,-0.003,-0.004
'0:02.538',-0.096,-0.243,-0.147,0.170,0.026,-0.196,0.041,0.102,0.116,0.095,0.008,0.043,-0.009,-0.004,-0.005
'0:02.539',-0.104,-0.247,-0.143,0.176,0.020,-0.196,0.038,0.102,0.115,0.095,0.009,0.044,-0.009,-0.005,-0.005
'0:02.540',-0.079,-0.240,-0.161,0.160,0.042,-0.201,0.030,0.092,0.107,0.088,0.004,0.035,-0.007,-0.002,-0.005
'0:02.541',-0.080,-0.231,-0.150,0.155,0.035,-0.191,0.035,0.095,0.112,0.093,0.009,0.042,-0.007,-0.004,-0.006
'0:02.542',-0.072,-0.220,-0.147,0.145,0.038,-0.184,0.036,0.099,0.114,0.093,0.009,0.043,-0.008,0.000,-0.008
'0:02.543',-0.067,-0.215,-0.149,0.141,0.042,-0.182,0.036,0.101,0.115,0.095,0.011,0.043,-0.009,0.007,-0.007
'0:02.544',-0.094,-0.232,-0.138,0.163,0.022,-0.185,0.034,0.097,0.115,0.095,0.010,0.044,-0.007,0.012,-0.005
'0:02.545',-0.092,-0.237,-0.145,0.165,0.027,-0.192,0.029,0.095,0.113,0.093,0.007,0.041,-0.007,0.014,-0.004
'0:02.546',-0.065,-0.221,-0.157,0.142,0.046,-0.189,0.034,0.101,0.117,0.099,0.013,0.049,-0.005,0.006,-0.004
'0:02.547',-0.061,-0.213,-0.152,0.137,0.045,-0.183,0.037,0.102,0.120,0.102,0.016,0.052,-0.006,-0.002,-0.005
'0:02.548',-0.070,-0.222,-0.151,0.145,0.041,-0.186,0.032,0.094,0.114,0.098,0.011,0.048,-0.004,0.005,-0.004
'0:02.549',-0.084,-0.234,-0.150,0.159,0.034,-0.193,0.028,0.089,0.109,0.093,0.008,0.047,-0.003,0.013,-0.003
'0:02.550',-0.096,-0.238,-0.141,0.167,0.023,-0.190,0.030,0.090,0.111,0.097,0.011,0.049,-0.002,0.015,-0.004
'0:02.551',-0.082,-0.224,-0.141,0.152,0.030,-0.182,0.030,0.091,0.111,0.099,0.015,0.053,-0.001,0.021,-0.004
'0:02.552',-0.093,-0.214,-0.121,0.153,0.015,-0.168,0.034,0.097,0.117,0.104,0.025,0.061,-0.001,0.021,-0.004
'0:02.553',-0.088,-0.209,-0.121,0.149,0.017,-0.166,0.034,0.093,0.115,0.103,0.025,0.061,-0.001,0.026,-0.004
'0:02.554',-0.092,-0.206,-0.114,0.149,0.011,-0.161,0.037,0.095,0.117,0.106,0.029,0.065,0.000,0.029,-0.004
'0:02.555',-0.099,-0.206,-0.107,0.152,0.004,-0.157,0.038,0.096,0.119,0.108,0.030,0.065,-0.001,0.026,-0.006
'0:02.556',-0.073,-0.208,-0.135,0.141,0.032,-0.172,0.025,0.084,0.107,0.096,0.016,0.054,-0.001,0.022,-0.005
'0:02.557',-0.066,-0.208,-0.142,0.137,0.038,-0.175,0.023,0.081,0.106,0.096,0.015,0.054,0.000,0.021,-0.006
'0:02.558',-0.066,-0.209,-0.144,0.138,0.040,-0.177,0.024,0.082,0.106,0.100,0.018,0.054,0.000,0.024,-0.007
'0:02.559',-0.080,-0.223,-0.143,0.151,0.032,-0.183,0.021,0.080,0.105,0.098,0.015,0.052,0.001,0.024,-0.006
'0:02.560',-0.072,-0.219,-0.147,0.145,0.038,-0.183,0.020,0.077,0.105,0.097,0.013,0.051,0.000,0.025,-0.007
'0:02.561',-0.067,-0.214,-0.148,0.141,0.041,-0.181,0.024,0.080,0.107,0.101,0.018,0.055,0.001,0.021,-0.009
'0:02.562',-0.074,-0.221,-0.146,0.147,0.036,-0.183,0.024,0.078,0.106,0.102,0.020,0.057,0.003,0.018,-0.009
'0:02.563',-0.070,-0.217,-0.147,0.143,0.038,-0.182,0.022,0.077,0.104,0.100,0.019,0.054,0.003,0.023,-0.011
'0:02.564',-0.069,-0.217,-0.148,0.143,0.040,-0.183,0.023,0.076,0.104,0.099,0.021,0.057,0.003,0.024,-0.011
'0:02.565',-0.072,-0.221,-0.148,0.146,0.038,-0.184,0.025,0.074,0.103,0.098,0.022,0.059,0.002,0.016,-0.009
'0:02.566',-0.075,-0.219,-0.144,0.147,0.035,-0.182,0.025,0.077,0.104,0.100,0.022,0.060,0.002,0.016,-0.011
'0:02.567',-0.072,-0.215,-0.143,0.144,0.036,-0.180,0.022,0.073,0.102,0.097,0.021,0.059,0.002,0.025,-0.011
'0:02.568',-0.079,-0.213,-0.135,0.146,0.029,-0.174,0.022,0.072,0.101,0.097,0.022,0.059,0.003,0.037,-0.011
'0:02.569',-0.082,-0.213,-0.132,0.148,0.025,-0.173,0.022,0.074,0.102,0.099,0.025,0.060,0.003,0.035,-0.012
'0:02.570',-0.081,-0.210,-0.130,0.145,0.025,-0.170,0.024,0.076,0.102,0.100,0.028,0.064,0.001,0.026,-0.011
'0:02.571',-0.083,-0.205,-0.122,0.144,0.020,-0.164,0.025,0.077,0.105,0.103,0.030,0.067,0.002,0.032,-0.011
'0:02.572',-0.086,-0.200,-0.114,0.143,0.013,-0.157,0.027,0.080,0.108,0.106,0.033,0.070,0.002,0.036,-0.012
'0:02.573',-0.087,-0.197,-0.110,0.142,0.011,-0.153,0.025,0.073,0.103,0.103,0.033,0.070,0.002,0.033,-0.011
'0:02.574',-0.086,-0.197,-0.110,0.141,0.012,-0.153,0.022,0.068,0.103,0.104,0.030,0.069,-0.001,0.030,-0.013
'0:02.575',-0.095,-0.203,-0.109,0.149,0.007,-0.157,0.019,0.072,0.102,0.103,0.028,0.065,0.003,0.036,-0.017
'0:02.576',-0.088,-0.195,-0.107,0.141,0.009,-0.151,0.017,0.067,0.100,0.103,0.034,0.068,0.003,0.042,-0.016
'0:02.577',-0.086,-0.192,-0.106,0.139,0.011,-0.149,0.018,0.067,0.101,0.104,0.035,0.070,0.003,0.043,-0.015
'0:02.578',-0.080,-0.193,-0.113,0.136,0.017,-0.152,0.020,0.067,0.099,0.104,0.035,0.069,0.002,0.033,-0.017
'0:02.579',-0.077,-0.189,-0.111,0.133,0.017,-0.150,0.019,0.066,0.098,0.106,0.038,0.068,-0.001,0.029,-0.017
'0:02.580',-0.091,-0.201,-0.109,0.146,0.009,-0.155,0.009,0.058,0.090,0.099,0.035,0.063,0.002,0.035,-0.018
'0:02.581',-0.083,-0.194,-0.112,0.139,0.015,-0.153,0.011,0.058,0.091,0.101,0.038,0.066,0.003,0.038,-0.019
'0:02.582',-0.088,-0.203,-0.115,0.146,0.013,-0.159,0.011,0.059,0.089,0.100,0.037,0.064,0.003,0.038,-0.020
'0:02.583',-0.095,-0.212,-0.117,0.153,0.011,-0.165,0.006,0.055,0.085,0.096,0.034,0.062,0.003,0.034,-0.021
'0:02.584',-0.086,-0.203,-0.117,0.145,0.015,-0.161,0.007,0.054,0.085,0.099,0.038,0.065,0.002,0.035,-0.021
'0:02.585',-0.084,-0.202,-0.118,0.143,0.017,-0.160,0.005,0.053,0.084,0.099,0.040,0.065,0.002,0.045,-0.022
'0:02.586',-0.062,-0.182,-0.120,0.122,0.029,-0.152,0.010,0.058,0.089,0.103,0.045,0.072,0.002,0.049,-0.024
'0:02.587',-0.049,-0.168,-0.119,0.108,0.035,-0.143,0.014,0.060,0.092,0.106,0.051,0.076,0.002,0.045,-0.024
'0:02.588',-0.074,-0.182,-0.108,0.129,0.018,-0.146,0.008,0.053,0.086,0.100,0.043,0.070,0.001,0.047,-0.024
'0:02.589',-0.098,-0.203,-0.106,0.150,0.004,-0.155,0.002,0.049,0.079,0.095,0.036,0.065,0.001,0.050,-0.024
'0:02.590',-0.103,-0.207,-0.104,0.155,0.001,-0.156,0.001,0.049,0.079,0.096,0.037,0.067,0.001,0.048,-0.023
